task_id,Actual_ID,Group_Size,Selected,Predicted_ID_XGBoost_WithDetail,Accuracy_XGBoost_WithDetail,Recall_XGBoost_WithDetail
151.0,1;2;3;8;12;20,22,6.0,2;6;7;8;9;20,0.7272727272727273,0.5
152.0,25;26;27;30,14,4.0,25;26;30;34,0.8571428571428571,0.75
153.0,42;52;56;57,24,4.0,42;44;53;56,0.8333333333333334,0.5
143.0,73;74;76,6,3.0,71;73;76,0.6666666666666666,0.6666666666666666
144.0,79;80;84;90,16,4.0,79;86;90;92,0.75,0.5
145.0,96;98;108;109;112;117,27,6.0,96;98;102;110;115;117,0.7777777777777778,0.5
146.0,120;121;123;124;125;126,8,6.0,120;122;123;124;125;127,0.5,0.6666666666666666
147.0,128;131;137;138;140;143;153,29,7.0,130;137;139;141;143;148;150,0.6551724137931034,0.2857142857142857
148.0,157;158;159,4,3.0,158;159;160,0.5,0.6666666666666666
149.0,161;163;164;169,11,4.0,163;165;166;168,0.45454545454545453,0.25
150.0,173;174;175;178,16,4.0,181;182;183;185,0.5,0.0
133.0,189;190;191,5,3.0,188;189;190,0.6,0.6666666666666666
134.0,194;195;198;200,9,4.0,193;194;197;198,0.5555555555555556,0.5
135.0,202;203;204;205,5,4.0,202;203;204;205,1.0,1.0
136.0,233;234;235;236;242,14,5.0,235;242;243;244;246,0.5714285714285714,0.4
137.0,248;249;252;253,7,4.0,247;250;251;252,0.14285714285714285,0.25
138.0,254;255;256;258,6,4.0,254;255;256;258,1.0,1.0
139.0,264;265;268;270,15,4.0,262;263;268;273,0.6,0.25
140.0,276;280;282,14,3.0,279;280;282,0.8571428571428571,0.6666666666666666
141.0,291;292;296;302,18,4.0,291;296;301;306,0.7777777777777778,0.5
142.0,307;311;312;313,7,4.0,307;311;312;313,1.0,1.0
130.0,315;318;319;323;327;328;334;335;337,24,9.0,315;319;320;322;325;328;333;334;335,0.6666666666666666,0.5555555555555556
131.0,338;343;344;345;346;347,13,6.0,339;344;346;347;349;350,0.5384615384615384,0.5
132.0,352;354;355,6,3.0,352;353;354,0.6666666666666666,0.6666666666666666
123.0,361;363;370;371;372,16,5.0,359;361;369;371;372,0.75,0.6
124.0,373;375;376;381;382,11,5.0,376;377;379;382;383,0.45454545454545453,0.4
125.0,384;385;391;393;396;398,17,6.0,384;385;390;397;398;400,0.6470588235294118,0.5
126.0,401;404;405;407;409;415;420;425,27,8.0,404;405;409;411;412;413;425;427,0.7037037037037037,0.5
127.0,428;431;432,5,3.0,428;431;432,1.0,1.0
128.0,433;435;436,6,3.0,436;437;438,0.3333333333333333,0.3333333333333333
129.0,439;440;441;446,12,4.0,444;447;448;449,0.3333333333333333,0.0
118.0,452;458;459;468,18,4.0,458;463;467;468,0.7777777777777778,0.5
120.0,477;480;483;484;485,9,5.0,477;478;480;483;485,0.7777777777777778,0.8
119.0,486;499;503;507;509,24,5.0,491;494;498;503;507,0.75,0.4
121.0,511;515;517,10,3.0,514;516;517,0.6,0.3333333333333333
122.0,520;523;525;528;531,15,5.0,520;524;525;531;532,0.7333333333333333,0.6
109.0,536;540;542;543,9,4.0,537;540;542;543,0.7777777777777778,0.75
110.0,544;546;547;554;558,17,5.0,544;547;554;558;560,0.8823529411764706,0.8
111.0,561;568;575;577;579,21,5.0,561;572;574;575;580,0.7142857142857143,0.4
112.0,582;584;587;595;596,16,5.0,582;584;592;595;596,0.875,0.8
113.0,603;607,16,2.0,603;612,0.875,0.5
114.0,614;615;616,9,3.0,616;620;622,0.5555555555555556,0.3333333333333333
116.0,625;626;627;634,14,4.0,624;626;627;632,0.7142857142857143,0.5
115.0,639;646;647,11,3.0,639;642;647,0.8181818181818182,0.6666666666666666
105.0,654;656;657;661;663;664,17,6.0,652;656;661;662;663;666,0.6470588235294118,0.5
106.0,679;680;681;694;695;698;702,48,7.0,673;681;687;689;690;691;695,0.7916666666666666,0.2857142857142857
107.0,717;719;721;724;727,15,5.0,717;718;720;729;731,0.4666666666666667,0.2
108.0,734;740;741;750;755;759;763,49,7.0,735;739;750;755;763;766;772,0.8367346938775511,0.42857142857142855
86.0,781;782;783;786,9,4.0,783;785;786;787,0.5555555555555556,0.5
87.0,796;799;801,12,3.0,792;796;799,0.8333333333333334,0.6666666666666666
88.0,802;803;804;805,6,4.0,802;804;806;807,0.3333333333333333,0.5
89.0,809;810;811;812,5,4.0,809;810;811;812,1.0,1.0
90.0,815;821;822,10,3.0,813;814;821,0.6,0.3333333333333333
91.0,825;826;827,5,3.0,826;827;828,0.6,0.6666666666666666
93.0,831;832;833;834;836,9,5.0,832;833;834;836;837,0.7777777777777778,0.8
94.0,839;840;841;844;848;849,14,6.0,843;846;847;848;849;850,0.42857142857142855,0.3333333333333333
95.0,853;854;857;860,9,4.0,853;854;859;860,0.7777777777777778,0.75
96.0,862;866;870;872;875,15,5.0,867;868;870;871;872,0.6,0.4
97.0,880;884;885;888;889,13,5.0,880;881;886;887;889,0.5384615384615384,0.4
98.0,890;891;895,14,3.0,890;891;894,0.8571428571428571,0.6666666666666666
99.0,904;905;906;907;909;910;912;913;915,15,9.0,904;905;906;907;909;912;914;915;918,0.7333333333333333,0.7777777777777778
100.0,920;921;922;923;926;928,11,6.0,920;921;922;926;927;928,0.8181818181818182,0.8333333333333334
101.0,931;932;933;935;936;940,13,6.0,930;931;932;936;940;941,0.6923076923076923,0.6666666666666666
102.0,945;949;953;954,12,4.0,949;952;953;954,0.8333333333333334,0.75
103.0,959;960;964,24,3.0,967;968;975,0.75,0.0
104.0,980;983;984,11,3.0,979;983;989,0.6363636363636364,0.3333333333333333
85.0,990;993;995;996;997,9,5.0,990;991;994;995;996,0.5555555555555556,0.6
81.0,1001;1003;1006,8,3.0,999;1001;1004,0.5,0.3333333333333333
82.0,1007;1011;1014;1015,9,4.0,1008;1012;1014;1015,0.5555555555555556,0.5
83.0,1016;1018;1021;1024,10,4.0,1016;1020;1021;1025,0.6,0.5
84.0,1026;1027;1030,6,3.0,1026;1028;1031,0.3333333333333333,0.3333333333333333
78.0,1034;1035;1037;1039,8,4.0,1032;1034;1035;1039,0.75,0.75
79.0,1042;1044;1046,7,3.0,1041;1043;1046,0.42857142857142855,0.3333333333333333
80.0,1048;1051;1055,10,3.0,1050;1051;1055,0.8,0.6666666666666666
73.0,1060;1061;1064;1067,18,4.0,1057;1061;1067;1068,0.7777777777777778,0.5
74.0,1079;1081;1083;1086;1087;1088,14,6.0,1077;1078;1079;1081;1083;1087,0.7142857142857143,0.6666666666666666
75.0,1090;1091;1092;1093;1094,10,5.0,1089;1090;1092;1093;1096,0.6,0.6
76.0,1099;1100;1104;1105,8,4.0,1099;1101;1102;1105,0.5,0.5
77.0,1107;1108;1110;1111,6,4.0,1109;1110;1111;1112,0.3333333333333333,0.5
64.0,1114;1115;1116;1117;1118,6,5.0,1113;1114;1115;1116;1118,0.6666666666666666,0.8
66.0,1122;1124;1125;1126;1129,8,5.0,1122;1125;1126;1128;1129,0.75,0.8
67.0,1130;1132;1133;1135;1136,7,5.0,1130;1131;1133;1134;1136,0.42857142857142855,0.6
68.0,1141;1146;1148;1149;1150;1152;1155,19,7.0,1137;1139;1145;1147;1148;1149;1155,0.5789473684210527,0.42857142857142855
69.0,1164;1166;1178;1185;1188;1197,43,6.0,1160;1164;1172;1175;1179;1194,0.7674418604651163,0.16666666666666666
189.0,1212;1215;1216;1217;1218;1219,11,6.0,1210;1211;1214;1215;1216;1219,0.45454545454545453,0.5
57.0,1220;1236;1241;1244;1246,27,5.0,1221;1226;1229;1232;1241,0.7037037037037037,0.2
58.0,1248;1249;1251;1254;1256,11,5.0,1248;1249;1250;1251;1254,0.8181818181818182,0.8
59.0,1258;1260;1261;1263;1264,9,5.0,1258;1260;1261;1264;1265,0.7777777777777778,0.8
60.0,1268;1269;1273;1277;1283,17,5.0,1267;1271;1274;1280;1283,0.5294117647058824,0.2
61.0,1284;1286;1289;1290;1293,10,5.0,1284;1287;1289;1290;1293,0.8,0.8
62.0,1294;1297;1300;1302,10,4.0,1298;1299;1300;1302,0.6,0.5
63.0,1304;1305;1306;1308;1309,16,5.0,1304;1307;1309;1310;1313,0.625,0.4
53.0,1321;1322;1323;1324;1326;1331,12,6.0,1321;1322;1323;1325;1326;1330,0.6666666666666666,0.6666666666666666
54.0,1333;1334;1335;1342;1348,17,5.0,1333;1338;1340;1347;1348,0.6470588235294118,0.4
55.0,1351;1352;1354;1362;1364,25,5.0,1350;1362;1366;1368;1371,0.68,0.2
56.0,1379;1382;1387;1389;1393,22,5.0,1376;1382;1385;1393;1395,0.7272727272727273,0.4
