task_id,Actual_ID,Predicted_ID_XGBoost,Accuracy_XGBoost,Recall_XGBoost
151,12,20,0.6666666666666666,0.0
152,26,26,1.0,1.0
153,56,42,0.5,0.0
143,76,74,0.3333333333333333,0.0
144,79,90,0.5,0.0
145,112,98,0.6666666666666666,0.0
146,126,120,0.6666666666666666,0.0
147,137,137,1.0,1.0
148,157,159,0.3333333333333333,0.0
149,169,169,1.0,1.0
150,178,174,0.5,0.0
133,189,190,0.3333333333333333,0.0
134,194,200,0.5,0.0
135,204,203,0.5,0.0
136,234,234,1.0,1.0
137,253,249,0.5,0.0
138,255,258,0.5,0.0
139,268,264,0.5,0.0
140,282,282,1.0,1.0
141,302,302,1.0,1.0
142,313,313,1.0,1.0
130,335,315,0.7777777777777778,0.0
131,347,346,0.6666666666666666,0.0
132,354,354,1.0,1.0
123,370,363,0.6,0.0
124,382,382,1.0,1.0
125,385,384,0.6666666666666666,0.0
126,401,407,0.75,0.0
127,432,428,0.3333333333333333,0.0
128,435,436,0.3333333333333333,0.0
129,441,441,1.0,1.0
118,458,459,0.5,0.0
120,485,483,0.6,0.0
119,507,507,1.0,1.0
121,517,511,0.3333333333333333,0.0
122,525,525,1.0,1.0
109,543,543,1.0,1.0
110,544,554,0.6,0.0
111,577,568,0.6,0.0
112,584,582,0.6,0.0
113,607,603,0.0,0.0
114,615,616,0.3333333333333333,0.0
116,627,627,1.0,1.0
115,639,639,1.0,1.0
117,648,650,0.5,0.0
105,663,661,0.6666666666666666,0.0
106,698,681,0.7142857142857143,0.0
107,727,721,0.6,0.0
108,763,755,0.7142857142857143,0.0
86,783,783,1.0,1.0
87,796,796,1.0,1.0
88,805,805,1.0,1.0
89,810,809,0.5,0.0
90,815,815,1.0,1.0
92,824,824,1.0,1.0
91,827,826,0.3333333333333333,0.0
93,836,833,0.6,0.0
94,844,840,0.6666666666666666,0.0
95,854,860,0.5,0.0
96,870,862,0.6,0.0
97,888,880,0.6,0.0
98,895,895,1.0,1.0
99,909,906,0.7777777777777778,0.0
100,921,921,1.0,1.0
101,931,936,0.6666666666666666,0.0
102,954,953,0.5,0.0
103,964,964,1.0,1.0
104,980,984,0.3333333333333333,0.0
85,990,995,0.6,0.0
81,1001,1006,0.3333333333333333,0.0
82,1014,1011,0.5,0.0
83,1024,1016,0.5,0.0
84,1026,1026,1.0,1.0
78,1034,1035,0.5,0.0
79,1044,1044,1.0,1.0
80,1048,1055,0.3333333333333333,0.0
73,1060,1060,1.0,1.0
74,1086,1088,0.6666666666666666,0.0
75,1094,1093,0.6,0.0
76,1100,1100,1.0,1.0
77,1110,1107,0.5,0.0
64,1114,1114,1.0,1.0
65,1119,1120,0.3333333333333333,0.0
66,1126,1126,1.0,1.0
67,1136,1136,1.0,1.0
68,1152,1155,0.7142857142857143,0.0
69,1197,1166,0.6666666666666666,0.0
70,1201,1201,1.0,1.0
71,1202,1203,0.5,0.0
72,1206,1208,0.3333333333333333,0.0
189,1216,1218,0.6666666666666666,0.0
57,1220,1220,1.0,1.0
58,1248,1254,0.6,0.0
59,1263,1260,0.6,0.0
60,1283,1283,1.0,1.0
61,1293,1284,0.6,0.0
62,1302,1294,0.5,0.0
63,1305,1304,0.6,0.0
53,1331,1331,1.0,1.0
54,1335,1334,0.6,0.0
55,1362,1362,1.0,1.0
56,1389,1389,1.0,1.0
48,1397,1396,0.0,0.0
46,1402,1402,1.0,1.0
47,1404,1404,1.0,1.0
49,1408,1412,0.6,0.0
50,1413,1426,0.7142857142857143,0.0
51,1436,1436,1.0,1.0
52,1457,1459,0.6,0.0
188,1472,1463,0.7777777777777778,0.0
41,1499,1499,1.0,1.0
43,1511,1506,0.6,0.0
42,1518,1521,0.6,0.0
44,1538,1535,0.6,0.0
45,1546,1546,1.0,1.0
36,1550,1549,0.6666666666666666,0.0
37,1570,1567,0.7142857142857143,0.0
38,1576,1583,0.6,0.0
39,1589,1590,0.6,0.0
40,1610,1613,0.6666666666666666,0.0
32,1617,1618,0.6,0.0
33,1632,1625,0.6,0.0
34,1641,1635,0.6,0.0
35,1646,1647,0.6,0.0
30,1663,1663,1.0,1.0
31,1668,1666,0.7142857142857143,0.0
29,1677,1689,0.75,0.0
23,1713,1715,0.6,0.0
25,1727,1741,0.6666666666666666,0.0
24,1777,1777,1.0,1.0
26,1810,1812,0.6,0.0
27,1820,1819,0.6,0.0
28,1824,1826,0.6,0.0
22,1833,1830,0.3333333333333333,0.0
19,1841,1838,0.5,0.0
20,1861,1864,0.6,0.0
21,1883,1882,0.6,0.0
183,1899,1902,0.6,0.0
187,1912,1915,0.3333333333333333,0.0
185,1922,1921,0.0,0.0
186,1923,1923,1.0,1.0
184,1934,1926,0.6666666666666666,0.0
182,1948,1954,0.5,0.0
13,1974,1974,1.0,1.0
18,1979,1979,1.0,1.0
17,1988,1991,0.3333333333333333,0.0
14,2003,2007,0.6,0.0
15,2028,2018,0.6,0.0
16,2047,2050,0.6,0.0
180,2075,2074,0.3333333333333333,0.0
181,2080,2078,0.3333333333333333,0.0
162,2085,2085,1.0,1.0
163,2092,2093,0.3333333333333333,0.0
170,2103,2118,0.5,0.0
166,2124,2121,0.3333333333333333,0.0
168,2132,2134,0.6,0.0
169,2144,2145,0.6,0.0
171,2164,2169,0.3333333333333333,0.0
173,2173,2180,0.5,0.0
172,2198,2198,1.0,1.0
174,2216,2212,0.6,0.0
176,2241,2242,0.5,0.0
178,2271,2275,0.3333333333333333,0.0
179,2282,2283,0.5,0.0
177,2284,2286,0.3333333333333333,0.0
164,2292,2289,0.5,0.0
165,2302,2299,0.3333333333333333,0.0
12,2313,2313,1.0,1.0
11,2330,2331,0.3333333333333333,0.0
9,2337,2337,1.0,1.0
10,2345,2339,0.5,0.0
8,2358,2357,0.3333333333333333,0.0
7,2367,2367,1.0,1.0
6,2377,2377,1.0,1.0
5,2386,2397,0.6666666666666666,0.0
3,2402,2409,0.6,0.0
2,2415,2416,0.3333333333333333,0.0
4,2422,2422,1.0,1.0
1,2436,2434,0.3333333333333333,0.0
154,2535,2535,1.0,1.0
155,2543,2543,1.0,1.0
156,2550,2550,1.0,1.0
157,2554,2553,0.3333333333333333,0.0
158,2556,2556,1.0,1.0
159,2562,2562,1.0,1.0
160,2567,2564,0.5,0.0
161,2583,2584,0.6666666666666666,0.0
