task_id,Actual_ID,Predicted_ID_XGBoost_WithDetail,Accuracy_XGBoost_WithDetail,Recall_XGBoost_WithDetail
151.0,12,20,0.6666666666666666,0.0
152.0,26,25,0.5,0.0
153.0,56,42,0.5,0.0
143.0,76,74,0.3333333333333333,0.0
144.0,79,80,0.5,0.0
145.0,112,112,1.0,1.0
146.0,126,126,1.0,1.0
147.0,137,137,1.0,1.0
148.0,157,158,0.3333333333333333,0.0
149.0,169,164,0.5,0.0
150.0,178,175,0.5,0.0
133.0,189,190,0.3333333333333333,0.0
134.0,194,200,0.5,0.0
135.0,204,203,0.5,0.0
136.0,234,234,1.0,1.0
137.0,253,249,0.5,0.0
138.0,255,256,0.5,0.0
139.0,268,270,0.5,0.0
140.0,282,276,0.3333333333333333,0.0
141.0,302,302,1.0,1.0
142.0,313,307,0.5,0.0
130.0,335,318,0.7777777777777778,0.0
131.0,347,338,0.6666666666666666,0.0
132.0,354,354,1.0,1.0
123.0,370,371,0.6,0.0
124.0,382,375,0.6,0.0
125.0,385,384,0.6666666666666666,0.0
126.0,401,415,0.75,0.0
127.0,432,428,0.3333333333333333,0.0
128.0,435,436,0.3333333333333333,0.0
129.0,441,441,1.0,1.0
118.0,458,458,1.0,1.0
120.0,485,483,0.6,0.0
119.0,507,507,1.0,1.0
121.0,517,515,0.3333333333333333,0.0
122.0,525,528,0.6,0.0
109.0,543,543,1.0,1.0
110.0,544,554,0.6,0.0
111.0,577,568,0.6,0.0
112.0,584,595,0.6,0.0
113.0,607,607,1.0,1.0
114.0,615,615,1.0,1.0
116.0,627,627,1.0,1.0
115.0,639,647,0.3333333333333333,0.0
117.0,648,650,0.5,0.0
105.0,663,656,0.6666666666666666,0.0
106.0,698,681,0.7142857142857143,0.0
107.0,727,724,0.6,0.0
108.0,763,763,1.0,1.0
86.0,783,781,0.5,0.0
87.0,796,796,1.0,1.0
88.0,805,805,1.0,1.0
89.0,810,809,0.5,0.0
90.0,815,822,0.3333333333333333,0.0
92.0,824,824,1.0,1.0
91.0,827,826,0.3333333333333333,0.0
93.0,836,833,0.6,0.0
94.0,844,840,0.6666666666666666,0.0
95.0,854,857,0.5,0.0
96.0,870,862,0.6,0.0
97.0,888,885,0.6,0.0
98.0,895,891,0.3333333333333333,0.0
99.0,909,905,0.7777777777777778,0.0
100.0,921,922,0.6666666666666666,0.0
101.0,931,932,0.6666666666666666,0.0
102.0,954,953,0.5,0.0
103.0,964,959,0.3333333333333333,0.0
104.0,980,984,0.3333333333333333,0.0
85.0,990,997,0.6,0.0
