task_id,Actual_ID,Predicted_ID_XGBoost_WithDetail,Accuracy_XGBoost_WithDetail,Recall_XGBoost_WithDetail
151.0,1;2;3;8;12;20,2;4;6;7;8;14,0.6363636363636364,0.3333333333333333
152.0,25;26;27;30,30;33;34;36,0.5714285714285714,0.25
153.0,42;52;56;57,42;49;51;56,0.8333333333333334,0.5
143.0,73;74;76,71;74;76,0.6666666666666666,0.6666666666666666
144.0,79;80;84;90,79;83;90;92,0.75,0.5
145.0,96;98;108;109;112;117,96;98;103;108;115;117,0.8518518518518519,0.6666666666666666
146.0,120;121;123;124;125;126,120;121;123;124;125;127,0.75,0.8333333333333334
147.0,128;131;137;138;140;143;153,130;133;137;139;143;148;154,0.6551724137931034,0.2857142857142857
148.0,157;158;159,157;158;159,1.0,1.0
149.0,161;163;164;169,161;163;165;166,0.6363636363636364,0.5
150.0,173;174;175;178,174;182;183;185,0.625,0.25
133.0,189;190;191,188;190;192,0.2,0.3333333333333333
134.0,194;195;198;200,193;194;198;200,0.7777777777777778,0.75
135.0,202;203;204;205,202;204;205;206,0.6,0.75
136.0,233;234;235;236;242,234;235;240;241;244,0.5714285714285714,0.4
137.0,248;249;252;253,247;250;251;252,0.14285714285714285,0.25
138.0,254;255;256;258,254;256;258;259,0.6666666666666666,0.75
139.0,264;265;268;270,268;270;271;273,0.7333333333333333,0.5
140.0,276;280;282,276;279;280,0.8571428571428571,0.6666666666666666
141.0,291;292;296;302,290;301;304;306,0.5555555555555556,0.0
142.0,307;311;312;313,307;308;309;312,0.42857142857142855,0.5
130.0,315;318;319;323;327;328;334;335;337,315;318;319;320;325;331;332;334;335,0.6666666666666666,0.5555555555555556
131.0,338;343;344;345;346;347,339;341;346;347;349;350,0.38461538461538464,0.3333333333333333
132.0,352;354;355,352;353;354,0.6666666666666666,0.6666666666666666
123.0,361;363;370;371;372,359;361;369;370;371,0.75,0.6
124.0,373;375;376;381;382,376;377;379;380;382,0.45454545454545453,0.4
125.0,384;385;391;393;396;398,384;385;389;390;397;398,0.6470588235294118,0.5
126.0,401;404;405;407;409;415;420;425,401;404;410;411;412;423;425;427,0.6296296296296297,0.375
127.0,428;431;432,430;431;432,0.6,0.6666666666666666
128.0,433;435;436,435;437;438,0.3333333333333333,0.3333333333333333
129.0,439;440;441;446,440;441;443;450,0.6666666666666666,0.5
118.0,452;458;459;468,458;462;463;468,0.7777777777777778,0.5
120.0,477;480;483;484;485,477;478;480;483;485,0.7777777777777778,0.8
119.0,486;499;503;507;509,491;494;499;503;507,0.8333333333333334,0.6
121.0,511;515;517,514;517;519,0.6,0.3333333333333333
122.0,520;523;525;528;531,520;524;526;531;532,0.6,0.4
109.0,536;540;542;543,537;539;542;543,0.5555555555555556,0.5
110.0,544;546;547;554;558,547;555;556;558;560,0.6470588235294118,0.4
111.0,561;568;575;577;579,573;574;575;577;580,0.7142857142857143,0.4
112.0,582;584;587;595;596,582;588;592;595;597,0.625,0.4
113.0,603;607,603;612,0.875,0.5
114.0,614;615;616,616;619;622,0.5555555555555556,0.3333333333333333
116.0,625;626;627;634,626;627;631;632,0.7142857142857143,0.5
115.0,639;646;647,639;642;646,0.8181818181818182,0.6666666666666666
105.0,654;656;657;661;663;664,652;656;661;663;667;668,0.6470588235294118,0.5
106.0,679;680;681;694;695;698;702,673;678;689;690;691;694;706,0.75,0.14285714285714285
107.0,717;719;721;724;727,717;718;724;726;729,0.6,0.4
